119 25 
1 15 720 
10 15 765 
10 45 765 
10 75 765 
10 105 765 
10 135 765 
10 195 765 
10 225 765 
10 255 765 
10 285 765 
10 315 765 
10 345 645 
10 375 645 
10 405 645 
10 435 645 
10 465 645 
10 75 165 
10 435 495 
10 375 495 
10 405 495 
10 345 495 
10 315 495 
10 285 495 
10 255 495 
10 225 495 
10 555 585 
10 195 315 
10 165 315 
10 135 315 
10 105 315 
10 75 315 
10 45 315 
10 105 165 
10 135 165 
10 165 165 
10 555 225 
10 555 405 
10 195 165 
10 255 135 
10 285 135 
10 315 135 
10 225 165 
10 345 105 
10 375 105 
10 585 255 
10 615 255 
10 405 105 
10 435 105 
10 465 105 
10 495 135 
10 525 135 
10 375 315 
10 645 315 
10 675 315 
10 705 315 
10 735 315 
10 765 285 
10 795 285 
10 825 255 
10 855 255 
10 885 225 
10 945 225 
10 915 225 
10 975 225 
10 1005 225 
10 1035 255 
10 1095 285 
10 1065 255 
10 1125 285 
10 1155 315 
10 1185 315 
10 1215 315 
10 1305 375 
10 1245 315 
10 1335 375 
10 1365 375 
10 1395 375 
10 1425 375 
10 1245 375 
10 1215 375 
10 1185 375 
10 1155 375 
10 1125 375 
10 1125 615 
10 1155 615 
10 1215 615 
10 1245 615 
10 1185 615 
10 1305 615 
10 1335 615 
10 1365 615 
10 1395 615 
10 1425 615 
10 1275 705 
10 1305 705 
10 1335 705 
10 1365 705 
10 1395 705 
10 1455 705 
10 1425 705 
10 1455 465 
10 1455 555 
10 1485 705 
10 1515 705 
10 1545 705 
10 1605 705 
10 1635 705 
10 1575 705 
10 1665 675 
10 1695 675 
10 1725 645 
10 1755 645 
10 1785 615 
10 1815 615 
10 1845 585 
10 1875 585 
10 1905 555 
10 1935 555 
10 1965 525 
10 2025 495 
10 1995 525 
10 2055 495 
10 2085 465 
10 2115 465 
10 2145 435 
10 2175 435 
10 2205 405 
10 2295 405 
10 2235 405 
10 2265 405 
10 2325 405 
10 2355 405 
10 2385 405 
10 2415 405 
10 2445 405 
10 2475 405 
10 2505 405 
11 135 735 
11 225 135 
11 75 285 
11 435 615 
11 315 105 
11 495 105 
11 585 225 
11 735 285 
11 645 285 
11 1155 285 
11 1245 285 
11 1305 345 
11 1335 345 
11 1365 345 
11 1395 345 
11 1425 345 
11 1125 345 
11 1155 345 
11 1185 345 
11 1215 345 
11 1245 345 
11 1155 585 
11 1185 585 
11 1215 585 
11 1245 585 
11 1305 585 
11 1365 585 
11 1335 585 
11 1395 585 
11 1125 585 
11 1425 585 
12 315 735 
12 315 705 
12 315 675 
12 315 645 
12 465 615 
12 465 585 
12 465 525 
12 465 555 
12 465 495 
12 225 465 
12 225 435 
12 225 405 
12 225 375 
12 225 345 
12 225 315 
12 45 285 
12 45 225 
12 45 255 
12 45 195 
12 45 165 
12 1275 315 
12 1275 345 
12 1275 375 
12 1275 405 
12 1275 435 
12 1275 465 
12 1275 495 
12 1275 525 
12 1275 555 
12 1275 585 
12 1275 645 
12 1275 615 
12 1275 675 
2 135 585 
2 105 375 
2 735 105 
2 1395 195 
2 1695 495 
2 1995 345 
2 2115 285 
2 1845 405 
2 1155 105 
5 255 705 
5 345 435 
5 435 45 
5 945 165 
5 1515 645 
5 2355 345 
4 555 195 
4 555 555 
4 555 375 
4 375 285 
4 1455 525 
4 1455 435 
10 2595 285
10 2625 285
10 2655 285
10 2655 255
10 2655 225
10 2655 195
10 2655 165
10 2655 135
10 2655 105
10 2655 75
10 2655 45
10 2655 15
10 2625 45
10 2625 75
10 2625 105
10 2625 135
10 2625 165
10 2625 195
10 2625 225
10 2625 255
10 2595 255
10 2595 225
10 2595 195
10 2595 165
10 2595 135
10 2595 105
10 2595 75
10 2595 45
10 2595 15
10 2625 15
10 2685 15
10 2715 15
10 2745 15
10 2775 15
10 2805 15
10 2835 15
10 2865 15
10 2895 15
10 2925 15
10 2955 15
10 2985 15
10 3015 15
10 3045 15
10 3075 15
10 3105 15
10 3135 15
10 3165 15
10 3195 15
10 3225 15
10 3255 15
10 3255 45
10 3285 45
10 3315 45
10 3345 45
10 3375 45
10 3405 45
10 3435 45
10 3465 45
10 3495 45
10 3495 15
10 3465 15
10 3435 15
10 3405 15
10 3375 15
10 3345 15
10 3315 15
10 3285 15
10 3225 45
10 3195 45
10 3165 45
10 3135 45
10 3105 45
10 3075 45
10 3045 45
10 3015 45
10 2985 45
10 2955 45
10 2925 45
10 2895 45
10 2865 45
10 2835 45
10 2805 45
10 2775 45
10 2745 45
10 2715 45
10 2685 45
10 3465 75
10 3465 105
10 3465 135
10 3465 165
10 3465 195
10 3465 225
10 3465 255
10 3465 285
10 3465 315
10 3465 345
10 3465 375
10 3465 405
10 3465 435
10 3465 465
10 3465 495
10 3465 525
10 3465 555
10 3495 555
10 3495 585
10 3495 615
10 3495 645
10 3495 675
10 3495 705
10 3495 735
10 3495 765
10 3495 525
10 3495 495
10 3495 465
10 3495 435
10 3495 405
10 3495 375
10 3495 345
10 3495 315
10 3495 285
10 3495 255
10 3495 225
10 3495 195
10 3495 165
10 3495 75
10 3495 105
10 3495 135
10 3465 585
10 3465 615
10 3465 645
10 3465 675
10 3465 705
10 3465 735
10 3465 765
10 3435 765
10 3405 765
10 3375 765
10 3345 765
10 3315 765
10 3285 765
10 3255 765
10 3225 765
10 3195 765
10 3165 765
10 3135 765
10 3105 765
10 3075 765
10 3045 765
10 3015 765
10 2985 765
10 2955 765
10 2925 765
10 2895 765
10 2865 765
10 2835 765
10 2805 765
10 2775 765
10 2745 765
10 2715 765
10 2685 765
10 2655 765
10 2625 765
10 2595 765
10 2595 735
10 2625 735
10 2655 735
10 2685 735
10 2715 735
10 2745 735
10 2775 735
10 3435 735
10 3405 735
10 3375 735
10 3345 735
10 3315 735
10 3285 735
10 3255 735
10 3225 735
10 3195 735
10 3165 735
10 3135 735
10 3105 735
10 3075 735
10 3045 735
10 3015 735
10 2985 735
10 2955 735
10 2925 735
10 2895 735
10 2865 735
10 2835 735
10 2805 735
10 2625 705
10 2655 705
10 2655 675
10 2655 645
10 2655 615
10 2655 585
10 2655 555
10 2655 525
10 2655 495
10 2625 495
10 2595 495
10 2625 525
10 2625 555
10 2595 585
10 2625 615
10 2625 645
10 2625 675
10 2595 705
10 2595 615
10 2625 585
10 2595 645
10 2595 555
10 2595 675
10 2595 525
12 2655 465
12 2655 435
12 2655 405
12 2655 375
12 2655 345
12 2655 315
22 3225 690
