123 25 
1 15 600 
10 15 645 
10 45 645 
10 135 645 
10 165 645 
10 195 645 
10 225 645 
10 615 405 
10 435 645 
10 375 645 
10 405 645 
10 495 615 
10 465 645 
10 555 585 
10 525 615 
10 585 585 
10 615 555 
10 645 555 
10 585 405 
10 555 405 
10 525 405 
10 495 405 
10 465 405 
10 735 465 
10 435 405 
10 465 195 
10 495 195 
10 525 195 
10 555 195 
10 735 285 
10 585 195 
10 615 195 
10 645 195 
10 675 165 
10 705 165 
10 735 135 
10 765 135 
10 795 105 
10 825 105 
10 255 645 
10 855 105 
10 885 105 
10 915 105 
10 945 135 
10 975 135 
10 1005 165 
10 1035 165 
10 1065 195 
10 1095 195 
10 1125 195 
10 1155 195 
10 1185 195 
10 1275 135 
10 1215 435 
10 1245 435 
10 1275 435 
10 1305 435 
10 1335 435 
10 1365 555 
10 1395 555 
10 1425 555 
10 1425 315 
10 1455 675 
10 1485 675 
10 1515 675 
10 1545 675 
10 1575 675 
10 1635 675 
10 1605 675 
10 1545 555 
10 1665 735 
10 1695 735 
10 1725 735 
10 1755 735 
10 1785 735 
10 1845 735 
10 1815 735 
10 1935 735 
10 1965 735 
10 1995 735 
10 2025 735 
10 2085 675 
10 2055 555 
10 2085 555 
10 2115 555 
10 2145 555 
10 2175 555 
10 2205 525 
10 2235 525 
10 2265 495 
10 2325 465 
10 2295 495 
10 2355 465 
10 2385 435 
10 2415 435 
10 2445 405 
10 2475 405 
10 2505 405 
10 2535 405 
10 2565 405 
10 2595 405 
10 2625 405 
11 765 105 
11 945 105 
11 1365 525 
12 645 525 
12 645 495 
12 645 465 
12 645 435 
12 645 405 
12 435 375 
12 435 315 
12 435 345 
12 435 285 
12 435 255 
12 435 225 
12 435 195 
12 2025 705 
12 2025 675 
12 2025 645 
12 2025 615 
12 2025 585 
12 2025 555 
5 195 585 
5 855 45 
5 525 345 
5 1275 375 
5 1545 615 
5 1755 675 
5 2535 345 
4 495 585 
4 615 525 
4 735 435 
4 735 255 
4 675 135 
4 1275 105 
4 1425 285 
4 1545 525 
4 2085 645 
4 2205 495 
4 2325 435 
10 2715 285
10 2745 285
10 2775 285
10 2775 255
10 2775 225
10 2775 195
10 2775 165
10 2775 135
10 2775 105
10 2775 75
10 2775 45
10 2775 15
10 2745 45
10 2745 75
10 2745 105
10 2745 135
10 2745 165
10 2745 195
10 2745 225
10 2745 255
10 2715 255
10 2715 225
10 2715 195
10 2715 165
10 2715 135
10 2715 105
10 2715 75
10 2715 45
10 2715 15
10 2745 15
10 2805 15
10 2835 15
10 2865 15
10 2895 15
10 2925 15
10 2955 15
10 2985 15
10 3015 15
10 3045 15
10 3075 15
10 3105 15
10 3135 15
10 3165 15
10 3195 15
10 3225 15
10 3255 15
10 3285 15
10 3315 15
10 3345 15
10 3375 15
10 3375 45
10 3405 45
10 3435 45
10 3465 45
10 3495 45
10 3525 45
10 3555 45
10 3585 45
10 3615 45
10 3615 15
10 3585 15
10 3555 15
10 3525 15
10 3495 15
10 3465 15
10 3435 15
10 3405 15
10 3345 45
10 3315 45
10 3285 45
10 3255 45
10 3225 45
10 3195 45
10 3165 45
10 3135 45
10 3105 45
10 3075 45
10 3045 45
10 3015 45
10 2985 45
10 2955 45
10 2925 45
10 2895 45
10 2865 45
10 2835 45
10 2805 45
10 3585 75
10 3585 105
10 3585 135
10 3585 165
10 3585 195
10 3585 225
10 3585 255
10 3585 285
10 3585 315
10 3585 345
10 3585 375
10 3585 405
10 3585 435
10 3585 465
10 3585 495
10 3585 525
10 3585 555
10 3615 555
10 3615 585
10 3615 615
10 3615 645
10 3615 675
10 3615 705
10 3615 735
10 3615 765
10 3615 525
10 3615 495
10 3615 465
10 3615 435
10 3615 405
10 3615 375
10 3615 345
10 3615 315
10 3615 285
10 3615 255
10 3615 225
10 3615 195
10 3615 165
10 3615 75
10 3615 105
10 3615 135
10 3585 585
10 3585 615
10 3585 645
10 3585 675
10 3585 705
10 3585 735
10 3585 765
10 3555 765
10 3525 765
10 3495 765
10 3465 765
10 3435 765
10 3405 765
10 3375 765
10 3345 765
10 3315 765
10 3285 765
10 3255 765
10 3225 765
10 3195 765
10 3165 765
10 3135 765
10 3105 765
10 3075 765
10 3045 765
10 3015 765
10 2985 765
10 2955 765
10 2925 765
10 2895 765
10 2865 765
10 2835 765
10 2805 765
10 2775 765
10 2745 765
10 2715 765
10 2715 735
10 2745 735
10 2775 735
10 2805 735
10 2835 735
10 2865 735
10 2895 735
10 3555 735
10 3525 735
10 3495 735
10 3465 735
10 3435 735
10 3405 735
10 3375 735
10 3345 735
10 3315 735
10 3285 735
10 3255 735
10 3225 735
10 3195 735
10 3165 735
10 3135 735
10 3105 735
10 3075 735
10 3045 735
10 3015 735
10 2985 735
10 2955 735
10 2925 735
10 2745 705
10 2775 705
10 2775 675
10 2775 645
10 2775 615
10 2775 585
10 2775 555
10 2775 525
10 2775 495
10 2745 495
10 2715 495
10 2745 525
10 2745 555
10 2715 585
10 2745 615
10 2745 645
10 2745 675
10 2715 705
10 2715 615
10 2745 585
10 2715 645
10 2715 555
10 2715 675
10 2715 525
12 2775 465
12 2775 435
12 2775 405
12 2775 375
12 2775 345
12 2775 315
23 3345 690
