114 25 
1 15 30 
10 15 75 
10 45 75 
10 75 75 
10 105 75 
10 225 165 
10 135 225 
10 105 345 
10 75 345 
10 45 345 
10 15 345 
10 135 435 
10 165 435 
10 195 435 
10 225 435 
10 15 555 
10 45 555 
10 195 315 
10 225 315 
10 255 315 
10 285 315 
10 165 225 
10 75 555 
10 105 555 
10 135 555 
10 315 495 
10 165 735 
10 195 735 
10 225 735 
10 255 735 
10 285 735 
10 315 735 
10 945 345 
10 345 705 
10 375 705 
10 975 315 
10 405 675 
10 435 675 
10 1005 315 
10 465 645 
10 495 645 
10 525 645 
10 555 525 
10 585 525 
10 615 525 
10 285 495 
10 345 495 
10 675 525 
10 705 525 
10 735 525 
10 765 375 
10 795 375 
10 825 375 
10 855 375 
10 885 345 
10 1035 315 
10 1065 285 
10 1095 285 
10 915 345 
10 1125 285 
10 405 285 
10 1155 285 
10 1185 105 
10 1215 105 
10 1245 105 
10 1275 105 
10 1305 135 
10 1395 165 
10 1425 195 
10 1635 165 
10 1515 315 
10 1485 315 
10 1365 165 
10 1335 135 
10 1455 195 
10 1545 315 
10 1575 315 
10 1605 315 
10 1665 435 
10 1635 435 
10 1695 435 
10 1725 435 
10 1755 435 
10 1785 555 
10 1815 555 
10 1875 555 
10 1845 555 
10 1905 555 
10 1935 675 
10 1965 675 
10 1995 675 
10 2025 675 
10 2055 675 
10 2085 675 
10 2115 675 
10 2265 645 
10 2175 465 
10 2145 465 
10 2205 465 
10 2265 465 
10 2235 465 
10 2295 465 
10 2355 465 
10 2325 465 
11 225 405 
11 195 285 
11 225 285 
11 255 285 
11 285 285 
11 15 525 
11 165 705 
11 285 465 
11 345 465 
11 945 315 
11 1035 285 
11 1125 255 
11 1485 285 
11 1515 285 
11 1635 405 
11 1785 525 
11 1815 525 
11 1935 645 
12 135 75 
12 135 105 
12 135 135 
12 135 165 
12 525 585 
12 525 615 
12 525 555 
12 525 525 
12 735 495 
12 735 465 
12 735 435 
12 735 405 
12 735 375 
12 1155 255 
12 1155 225 
12 1155 195 
12 1155 165 
12 1155 135 
12 1155 105 
12 2115 645 
12 2115 615 
12 2115 555 
12 2115 585 
12 2115 525 
12 2115 495 
12 2115 465 
2 45 165 
2 285 195 
2 45 405 
2 285 585 
2 435 525 
2 615 345 
2 945 195 
2 1095 135 
2 1335 255 
2 1665 225 
2 1785 315 
2 1875 435 
2 2055 555 
2 2205 315 
3 225 120 
3 315 435 
3 615 465 
3 855 315 
3 405 225 
3 1635 105 
3 2265 585 
3 2355 405 
10 2445 285
10 2475 285
10 2505 285
10 2505 255
10 2505 225
10 2505 195
10 2505 165
10 2505 135
10 2505 105
10 2505 75
10 2505 45
10 2505 15
10 2475 45
10 2475 75
10 2475 105
10 2475 135
10 2475 165
10 2475 195
10 2475 225
10 2475 255
10 2445 255
10 2445 225
10 2445 195
10 2445 165
10 2445 135
10 2445 105
10 2445 75
10 2445 45
10 2445 15
10 2475 15
10 2535 15
10 2565 15
10 2595 15
10 2625 15
10 2655 15
10 2685 15
10 2715 15
10 2745 15
10 2775 15
10 2805 15
10 2835 15
10 2865 15
10 2895 15
10 2925 15
10 2955 15
10 2985 15
10 3015 15
10 3045 15
10 3075 15
10 3105 15
10 3105 45
10 3135 45
10 3165 45
10 3195 45
10 3225 45
10 3255 45
10 3285 45
10 3315 45
10 3345 45
10 3345 15
10 3315 15
10 3285 15
10 3255 15
10 3225 15
10 3195 15
10 3165 15
10 3135 15
10 3075 45
10 3045 45
10 3015 45
10 2985 45
10 2955 45
10 2925 45
10 2895 45
10 2865 45
10 2835 45
10 2805 45
10 2775 45
10 2745 45
10 2715 45
10 2685 45
10 2655 45
10 2625 45
10 2595 45
10 2565 45
10 2535 45
10 3315 75
10 3315 105
10 3315 135
10 3315 165
10 3315 195
10 3315 225
10 3315 255
10 3315 285
10 3315 315
10 3315 345
10 3315 375
10 3315 405
10 3315 435
10 3315 465
10 3315 495
10 3315 525
10 3315 555
10 3345 555
10 3345 585
10 3345 615
10 3345 645
10 3345 675
10 3345 705
10 3345 735
10 3345 765
10 3345 525
10 3345 495
10 3345 465
10 3345 435
10 3345 405
10 3345 375
10 3345 345
10 3345 315
